"","multi.km$cluster","avg","gain","peak","achievements","positive_ratings","negative_ratings","average_playtime"
"Faeria",3,245.166440677966,-2.20525423728813,529.152542372881,59,4683,882,2201
"Far Cry 4",3,1160.63337662338,9.91324675324676,2922.31168831169,0,17082,4740,1062
"Far Cry 5",3,3652.25970588235,-727.407352941177,8814.47058823529,0,23373,11081,1869
"Farm Together",3,1126.46055555556,35.4813888888889,2161.02777777778,45,4022,407,35
"Farming Simulator 15",3,1288.68948717949,2.14153846153847,3060.32051282051,16,10219,1066,1902
"Farming Simulator 17",3,3561.68109090909,16.4905454545455,8088.36363636364,17,11211,1025,4377
"Farming Simulator 19",3,12593.7255555556,-206.511851851852,26763.7407407407,23,5738,1708,1164
"Feed and Grow: Fish",3,234.981147540984,8.66639344262295,413.016393442623,19,1341,550,197
"FINAL FANTASY XIV Online",5,8003.86416666667,182.200833333333,13911.7142857143,0,9808,2107,28897
"FINAL FANTASY XV WINDOWS EDITION",3,1343.53357142857,17.9059523809524,3213.07142857143,97,13789,4046,851
"Fishing Planet",3,1300.74060606061,-3.47727272727273,2470.25757575758,0,10585,3330,196
"Fistful of Frags",3,296.601234567901,-14.676049382716,590.987654320988,17,23803,2399,3079
"Football Manager 2018",5,13760.9256410256,-772.588974358974,24188.4615384615,77,4399,2466,19379
"Football Manager 2020",5,48717.0966666667,-736.804,87148,77,4105,2040,18644
"Football Manager 2021",6,53707.3066666667,4970.84666666667,91653,77,3510,1541,5941
"For The King",3,684.448979591837,69.480612244898,1939.67346938776,72,4790,920,1536
"Foxhole",3,446.385111111111,12.396,1188.13333333333,0,6075,1546,928
"Friday the 13th: The Game",3,769.937192982456,10.8240350877193,2080.98245614035,53,19663,8304,4823
"Galactic Civilizations III",3,519.174268292683,4.55256097560976,1197.10975609756,98,6051,1891,199
"Gang Beasts",3,225.95038961039,4.12155844155844,598.064935064935,19,13439,5880,681
"Garry's Mod",5,26353.0160194175,191.993398058252,48811.0970873786,29,363721,16433,12422
"Gear Up",3,68.7288235294118,0.0378431372549022,189.323529411765,27,6383,2225,139
"Governor of Poker 3",3,433.172333333333,4.997,778.233333333333,32,2163,866,1848
"Grand Theft Auto V",5,62180.5165714286,-1458.09114285714,122085.628571429,77,329061,139308,9837
"GRAV",3,62.7068493150685,-9.29178082191781,227.753424657534,0,3484,3010,509
"Gremlins, Inc.",3,133.72015625,2.41859375,493.25,100,3232,550,193
"GRID 2",3,322.156413043478,-17.3060869565217,1263.52173913043,60,11953,3009,340
"GRID Autosport",3,168.419024390244,0.483536585365854,485.19512195122,60,4969,1610,228
"Grim Dawn",6,3089.56781609195,50.3162068965517,7009.31034482759,178,26805,2605,3651
"Guns of Icarus Online",4,196.166274509804,-0.143529411764705,1839.55882352941,849,12932,1276,275
"GunZ 2: The Second Duel",6,170.64380952381,-59.0846428571429,331.428571428571,183,6865,3424,450
"Half-Life",3,401.323689320388,2.50495145631068,959.961165048544,0,27755,1100,1300
"Half-Life 2: Deathmatch",3,224.30359223301,-3.44300970873786,447.932038834951,0,6020,787,311
"Half-Life: Opposing Force",3,73.7039805825243,0.258834951456311,161.582524271845,0,5250,288,624
"Hammerwatch",3,85.2841111111111,-4.88133333333333,334.955555555556,38,5092,566,288
"Hearts of Iron III",3,287.162718446602,-0.909417475728155,570.155339805825,0,3298,992,809
"Hearts of Iron IV",6,13916.7853448276,421.971206896552,25175.3620689655,92,34711,5251,9413
"Hero Siege",3,384.384166666667,3.28869047619048,1146.39285714286,57,14929,4023,803
"Heroes & Generals",3,3385.20376344086,28.3584946236559,6941.89247311828,0,65856,34416,1752
"Heroes of Might & Magic III - HD Edition",3,814.408888888889,2.80763888888889,1702.63888888889,13,4673,2161,1854
"Homefront",3,61.0963106796116,-1.57135922330097,225.718446601942,47,5506,3685,1772
"Homeworld Remastered Collection",3,266.912054794521,2.44767123287671,936.547945205479,34,5377,827,353
"How to Survive",3,135.938863636364,-12.2109090909091,683.636363636364,43,12965,2751,333
"How to Survive 2",3,175.065846153846,0.717692307692306,609.492307692308,49,5823,2471,409
"Hunt: Showdown",3,3438.77425,199.6135,8194.975,37,57015,11148,1101
"Hurtworld",3,1069.17274193548,-100.609193548387,2444.6935483871,0,15574,5362,5439
